"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"11",896521039,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:82187?seid=585102","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","CA","Spuzzum, Fraser Canyon","British Columbia","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",49.6886269,-121.4134622,2692,NA,NA,NA,NA,NA,"1940-08-07",7,8,1940,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:82187","Allan Cyril Brooks 9375","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Allan Cyril Brooks","","",2024-01-29 11:41:43.878,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"12",896519606,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:81271?seid=1457854","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","14 mi W Wilets","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",39.4089075,-123.6143574,19222,NA,NA,NA,NA,NA,"1932-05-26",26,5,1932,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:81271","Alden H. Miller 1271","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:41:55.087,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"13",896519595,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:81270?seid=1019440","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","10 mi N Garberville","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.2321428,-123.7964337,1384,NA,NA,NA,NA,NA,"1932-05-26",26,5,1932,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:81270","Alden H. Miller 1269","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:41:55.086,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"14",896508032,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:70360?seid=1176336","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","5 mi W Ornbaun Springs","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",38.9629263,-123.3721726,4612,NA,NA,NA,NA,NA,"1937-01-08",8,1,1937,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:70360","Alden H. Miller 2528","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:42:00.004,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"15",896504971,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:67972?seid=1054905","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Summer Home Park, Hilton","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",38.4989224,-122.9357453,697,NA,NA,NA,NA,NA,"1935-09-08",8,9,1935,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:67972","Seth B. Benson 2915","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Seth B. Benson","","",2024-01-29 11:41:53.617,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"16",896500335,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:63298?seid=1808879","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Carlotta","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.5376892,-124.0595464,3714,NA,NA,NA,NA,NA,"1933-06-25",25,6,1933,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:63298","H. E. Wilder 1841","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): H. E. Wilder","","",2024-01-29 11:41:59.677,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"17",896499331,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:62389?seid=984446","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Garberville","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.0997492,-123.7935157,1384,NA,NA,NA,NA,NA,"1932-05-26",26,5,1932,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:62389","Alden H. Miller 1269","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:41:48.583,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"18",896499314,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:62388?seid=1666114","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","14 mi W (by road) Willis","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",39.3484725,-123.5159023,4155,NA,NA,NA,NA,NA,"1932-05-26",26,5,1932,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:62388","Alden H. Miller 1271","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:41:53.497,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"19",896496323,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:5941?seid=300118","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Mt. Tamalpais","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",37.9270295,-122.5881148,2617,NA,NA,NA,NA,NA,"1896-05-23",23,5,1896,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:5941","F. W. Bancroft 216","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): F. W. Bancroft","","",2024-01-29 11:41:35.657,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"20",896490048,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:54547?seid=673211","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","6 mi SW Prospect","Oregon","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",42.6893548,-122.5720538,4667,NA,NA,NA,NA,NA,"1930-04-07",7,4,1930,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:54547","","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): W. E. Sherwood","","",2024-01-29 11:41:48.11,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
